"","Squad","Comp","Player","Nation","Pos","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","PK_Standard","PKatt_Standard","FK_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np.G_minus_xG_Expected"
"1499","Lyon","Ligue 1","Lucas Paquetá","BRA","MF",5,31,17,18,17,89,63,32,32,35,89,87,77,19,19,37,41,41
"1500","Lyon","Ligue 1","Jeff Reine-Adélaïde","FRA","MF",11,31,35,67,96,87,98,32,32,72,89,87,77,35,36,47,24,23
"1502","Lyon","Ligue 1","Amin Sarr","SWE","FW",17,57,17,49,97,35,70,90,54,18,89,87,77,47,48,98,52,53
"1504","Lyon","Ligue 1","Nicolás Tagliafico","ARG","DF",95,57,64,55,21,26,22,42,46,48,89,87,77,68,63,56,11,20
"1505","Lyon","Ligue 1","Tetê","BRA","FW,MF",38,91,77,83,76,83,88,90,79,46,89,87,87,83,85,86,93,93
"1506","Lyon","Ligue 1","Karl Toko Ekambi","CMR","FW,MF",47,83,87,92,80,88,92,61,46,31,89,87,77,84,86,71,41,41
"1507","Lyon","Ligue 1","Corentin Tolisso","FRA","MF",68,57,75,70,33,53,48,35,36,87,89,87,77,58,59,28,27,27
"1508","M'Gladbach","Bundesliga","Ramy Bensebaini","ALG","DF",84,91,85,81,41,55,54,61,68,53,97,96,93,88,83,63,80,70
"1510","M'Gladbach","Bundesliga","Nico Elvedi","SUI","DF",93,77,56,74,90,20,40,85,68,7,89,87,77,71,73,86,72,72
"1512","M'Gladbach","Bundesliga","Marvin Friedrich","GER","DF",43,57,32,49,78,24,40,66,54,19,89,87,77,38,39,56,63,64
"1513","M'Gladbach","Bundesliga","Patrick Herrmann","GER","FW,MF",5,57,22,32,52,94,89,85,90,70,89,87,77,19,19,28,78,78
"1514","M'Gladbach","Bundesliga","Jonas Hofmann","GER","FW,MF",89,98,88,94,90,57,74,95,90,66,89,94,96,92,93,88,99,100
"1515","M'Gladbach","Bundesliga","Ko Itakura","JPN","DF",68,31,39,49,59,16,25,32,32,32,89,87,77,27,28,28,31,31
"1518","M'Gladbach","Bundesliga","Kouadio Koné","FRA","MF",87,57,71,86,91,37,58,38,32,94,89,87,77,47,48,18,52,53
"1519","M'Gladbach","Bundesliga","Christoph Kramer","GER","MF",75,31,22,18,11,3,2,32,32,84,89,87,77,19,19,28,41,41
"1520","M'Gladbach","Bundesliga","Stefan Lainer","AUT","DF",28,31,22,49,96,25,54,32,32,21,89,87,77,35,36,82,24,23
"1521","M'Gladbach","Bundesliga","Nathan N'Goumou","FRA","FW",23,57,45,49,41,63,60,53,54,59,89,87,77,35,36,28,66,67
"1522","M'Gladbach","Bundesliga","Luca Netz","GER","DF",24,57,13,32,90,16,36,95,90,32,89,87,77,41,42,99,61,61
"1523","M'Gladbach","Bundesliga","Florian Neuhaus","GER","MF",49,57,74,62,19,67,49,38,42,81,89,87,77,63,64,37,19,18
"1525","M'Gladbach","Bundesliga","Alassane Pléa","FRA","FW",61,70,72,79,71,54,63,38,34,63,95,96,87,87,81,82,1,3
"1527","M'Gladbach","Bundesliga","Joe Scally","USA","DF",75,31,25,18,7,5,2,32,32,56,89,87,77,23,24,37,35,35
"1530","M'Gladbach","Bundesliga","Lars Stindl","GER","FW,MF",60,94,91,94,77,86,90,81,70,77,89,87,93,87,89,63,98,98
"1531","M'Gladbach","Bundesliga","Semir Telalovic","GER","MF,FW",0,31,3,18,100,100,100,32,32,94,89,87,77,5,5,37,57,58
"1532","M'Gladbach","Bundesliga","Marcus Thuram","FRA","FW",85,98,99,99,82,94,96,77,59,18,89,87,77,99,100,95,1,1
"1534","M'Gladbach","Bundesliga","Hannes Wolf","AUT","FW",14,57,28,41,63,61,65,74,68,25,89,87,77,52,53,95,41,41
"1535","Mainz 05","Bundesliga","Ludovic Ajorque","FRA","FW,MF",42,91,79,86,76,81,87,88,78,32,89,87,77,85,87,86,90,90
"1536","Mainz 05","Bundesliga","Aymen Barkok","MAR","MF",19,31,39,32,12,64,41,32,32,88,89,87,77,23,24,10,35,35
"1537","Mainz 05","Bundesliga","Leandro Barreiro Martins","LUX","MF",73,83,79,86,76,54,65,74,58,42,89,87,77,81,84,77,63,64
"1538","Mainz 05","Bundesliga","Stefan Bell","GER","DF",81,31,25,32,37,4,8,32,32,6,89,87,77,31,32,56,27,27
"1539","Mainz 05","Bundesliga","Delano Burgzorg","NED","FW,MF",8,31,13,32,90,57,74,32,32,94,89,87,77,10,10,10,52,53
"1540","Mainz 05","Bundesliga","Jonathan Burkardt","GER","MF,FW",18,57,60,62,39,95,86,42,42,17,89,94,77,75,67,71,6,15
"1541","Mainz 05","Bundesliga","Anthony Caci","FRA","DF",70,70,35,49,70,13,25,90,90,43,89,87,77,27,28,28,90,90
"1542","Mainz 05","Bundesliga","Danny da Costa","GER","DF",42,31,25,18,7,16,7,32,32,27,89,87,77,23,24,47,35,35
"1544","Mainz 05","Bundesliga","Edimilson Fernandes","SUI","DF",83,31,49,41,17,19,13,32,32,94,89,87,95,31,32,10,27,27
"1545","Mainz 05","Bundesliga","Angelo Fulgini","FRA","MF",17,31,28,49,90,54,70,32,32,63,89,87,77,27,28,37,31,31
"1548","Mainz 05","Bundesliga","Andreas Hanche-Olsen","NOR","DF",53,57,25,32,37,12,14,77,90,23,89,87,77,19,19,28,78,78
"1549","Mainz 05","Bundesliga","Marcus Ingvartsen","DEN","FW,MF",45,96,79,83,70,76,81,88,79,38,99,99,87,95,89,91,92,82
"1550","Mainz 05","Bundesliga","Lee Jae-sung","KOR","MF",65,93,82,89,82,62,77,90,75,31,89,87,77,83,86,77,97,97
"1551","Mainz 05","Bundesliga","Dominik Kohr","GER","MF",77,77,85,70,17,58,41,53,72,75,89,87,77,66,69,28,80,80
"1552","Mainz 05","Bundesliga","Maxim Leitsch","GER","DF",22,31,6,18,90,4,18,32,32,66,89,87,77,10,10,56,52,53
"1553","Mainz 05","Bundesliga","Aarón Martín","ESP","DF",64,87,56,67,66,36,45,96,94,96,89,94,98,65,53,47,97,99
"1555","Mainz 05","Bundesliga","Karim Onisiwo","AUT","FW,MF",86,96,96,98,81,82,90,79,60,38,89,87,77,95,96,77,93,93
"1557","Mainz 05","Bundesliga","Anton Stach","GER","MF",71,57,82,77,34,59,54,35,34,86,89,87,95,65,67,28,15,15
"1559","Mainz 05","Bundesliga","Nelson Weiper","GER","FW,DF",3,70,17,49,97,98,99,98,90,1,89,87,77,58,59,99,70,70
"1560","Mainz 05","Bundesliga","Silvan Widmer","SUI","DF",59,70,58,62,42,42,43,66,68,7,89,87,77,70,72,82,35,35
"1562","Mallorca","La Liga","Amath","SEN","MF,FW",42,70,66,67,40,63,59,57,58,26,89,87,77,72,74,77,27,27
"1565","Mallorca","La Liga","Iddrisu Baba","GHA","MF,DF",59,31,42,32,11,24,13,32,32,91,89,87,77,27,28,18,31,31
"1568","Mallorca","La Liga","Jaume Costa","ESP","DF",85,31,39,62,92,10,31,32,32,39,89,87,77,41,42,56,19,18
"1570","Mallorca","La Liga","Iñigo Ruiz de Galarreta","ESP","MF",80,31,35,32,17,9,8,32,32,95,89,87,77,14,14,4,45,46
"1573","Mallorca","La Liga","Clément Grenier","FRA","MF",24,31,9,32,96,9,35,32,32,88,89,87,87,10,10,37,52,53
"1574","Mallorca","La Liga","Dennis Hadzikadunic","BIH","DF",20,31,17,18,17,29,20,32,32,36,89,87,77,14,14,37,45,46
"1575","Mallorca","La Liga","Lago Junior","CIV","FW,MF",2,31,6,18,90,95,97,32,32,54,89,87,77,1,1,0,61,61
"1576","Mallorca","La Liga","Tino Kadewere","ZIM","FW,MF",18,57,58,62,42,93,85,42,42,64,89,87,77,56,57,47,31,31
"1577","Mallorca","La Liga","Lee Kangin","KOR","MF,FW",91,91,88,86,41,57,56,74,78,73,89,87,98,87,89,71,83,82
"1579","Mallorca","La Liga","Pablo Maffeo","ESP","DF",95,70,60,49,17,23,14,61,90,57,89,87,77,58,59,47,70,70
"1580","Mallorca","La Liga","Manu Morlanes","ESP","MF",21,57,22,32,52,35,38,85,90,82,89,87,77,10,10,10,83,82
"1581","Mallorca","La Liga","Vedat Muriqi","KVX","FW",94,98,96,96,55,76,74,77,76,38,99,99,77,98,96,71,95,95
"1582","Mallorca","La Liga","Matija Nastasić","SRB","DF",31,57,13,32,90,11,28,95,90,15,89,87,77,23,24,82,75,75
"1583","Mallorca","La Liga","Abdón Prats","ESP","FW,MF",13,57,22,49,96,53,81,85,54,25,89,87,77,31,32,77,70,70
"1585","Mallorca","La Liga","Antonio Raillo","ESP","DF",89,70,45,55,65,13,23,79,75,25,89,87,77,27,28,18,90,90
"1587","Mallorca","La Liga","Ángel Rodríguez","ESP","FW,MF",12,31,42,55,73,91,92,32,32,20,89,87,77,63,65,95,5,5
"1588","Mallorca","La Liga","Dani Rodríguez","ESP","MF",69,77,68,77,73,45,55,74,59,60,89,87,77,63,64,47,85,85
"1590","Mallorca","La Liga","Antonio Sánchez","ESP","MF,DF",37,31,42,55,73,42,53,32,32,85,89,87,77,27,28,18,31,31
"1591","Mallorca","La Liga","Martin Valjent","SVK","DF",86,31,22,32,52,3,7,32,32,79,89,87,77,14,14,28,45,46
"1592","Manchester City","Premier League","Manuel Akanji","SUI","DF",77,31,49,32,5,21,8,32,32,41,89,87,77,49,50,56,13,13
"1593","Manchester City","Premier League","Nathan Aké","NED","DF",65,57,32,32,21,12,11,66,90,7,89,87,77,56,57,93,31,31
"1594","Manchester City","Premier League","Julián Álvarez","ARG","FW,MF",52,95,89,92,76,89,92,85,75,42,95,94,77,92,92,82,95,93
"1595","Manchester City","Premier League","João Cancelo","POR","DF",44,70,54,41,11,48,30,69,94,87,89,87,77,35,36,18,88,88
"1597","Manchester City","Premier League","Kevin De Bruyne","BEL","MF",82,93,96,94,44,82,76,66,68,87,89,87,98,89,90,56,90,90
"1598","Manchester City","Premier League","Rúben Dias","POR","DF",69,31,35,32,17,13,9,32,32,3,89,87,77,49,50,82,13,13
"1600","Manchester City","Premier League","Phil Foden","ENG","FW",64,97,89,94,82,78,88,93,90,36,89,87,87,89,91,82,100,100
"1602","Manchester City","Premier League","Jack Grealish","ENG","FW",71,87,87,87,60,67,69,69,68,37,89,87,77,85,87,71,72,72
"1603","Manchester City","Premier League","İlkay Gündoğan","GER","MF",79,94,92,92,63,72,75,79,75,59,89,94,96,93,93,82,75,89
"1604","Manchester City","Premier League","Erling Haaland","NOR","FW",92,100,100,100,79,97,97,95,90,17,100,100,77,100,100,97,100,100
"1605","Manchester City","Premier League","Aymeric Laporte","ESP","DF",34,31,35,18,2,38,9,32,32,32,89,87,77,19,19,10,41,41
"1606","Manchester City","Premier League","Rico Lewis","ENG","DF,MF",31,31,17,32,70,16,28,32,32,79,89,87,77,10,10,10,52,53
"1607","Manchester City","Premier League","Riyad Mahrez","ALG","FW,MF",66,87,87,81,37,71,63,61,68,52,95,94,98,88,87,71,35,27
"1609","Manchester City","Premier League","Cole Palmer","ENG","MF,FW",12,31,39,41,33,87,73,32,32,23,89,87,77,19,19,4,41,41
"1612","Manchester City","Premier League","Rodri","ESP","MF",95,70,91,86,34,59,54,38,38,51,89,87,77,85,87,56,2,3
"1613","Manchester City","Premier League","Bernardo Silva","POR","MF,FW",75,83,69,74,58,43,48,81,78,59,89,87,77,65,67,56,93,93
"1614","Manchester City","Premier League","John Stones","ENG","DF,MF",64,70,39,41,33,18,20,87,94,22,89,87,77,41,42,63,85,85
"1615","Manchester City","Premier League","Kyle Walker","ENG","DF",68,31,17,18,17,3,3,32,32,93,89,87,77,19,19,47,41,41
"1616","Manchester Utd","Premier League","Antony","BRA","FW",62,83,97,96,52,96,91,45,42,69,89,87,77,91,93,56,2,3
"1618","Manchester Utd","Premier League","Casemiro","BRA","MF",73,83,81,79,44,56,57,69,70,81,89,87,77,79,81,63,78,78
"1619","Manchester Utd","Premier League","Diogo Dalot","POR","DF",74,57,64,67,43,38,40,42,38,71,89,87,77,70,72,71,10,10
"1620","Manchester Utd","Premier League","Anthony Elanga","SWE","FW",14,31,35,49,70,74,79,32,32,25,89,87,77,31,32,37,27,27
"1621","Manchester Utd","Premier League","Christian Eriksen","DEN","MF",71,57,85,79,34,64,58,35,34,68,89,87,95,87,89,82,1,1
"1622","Manchester Utd","Premier League","Bruno Fernandes","POR","MF,FW",100,94,99,98,57,83,80,49,43,77,97,96,97,96,95,56,13,8
"1623","Manchester Utd","Premier League","Fred","BRA","MF",43,70,71,55,13,68,47,53,75,69,89,87,77,63,64,47,61,61
"1624","Manchester Utd","Premier League","Alejandro Garnacho","ESP","FW,MF",19,77,68,74,63,97,95,74,68,45,89,87,77,75,77,82,61,61
"1629","Manchester Utd","Premier League","Tyrell Malacia","NED","DF",49,31,17,32,70,6,16,32,32,84,89,87,77,10,10,18,52,53
"1630","Manchester Utd","Premier League","Anthony Martial","FRA","FW",34,91,71,81,80,81,89,88,76,22,95,94,77,90,90,98,52,35
"1631","Manchester Utd","Premier League","Lisandro Martínez","ARG","DF",73,57,35,18,2,12,2,61,100,32,89,87,77,23,24,18,75,75
"1632","Manchester Utd","Premier League","Scott McTominay","SCO","MF",41,57,45,62,80,42,57,53,42,32,89,87,77,61,63,88,21,20
"1634","Manchester Utd","Premier League","Marcus Rashford","ENG","FW",95,99,99,100,78,95,96,81,69,46,89,87,98,99,99,88,92,91
"1635","Manchester Utd","Premier League","Cristiano Ronaldo","POR","FW",17,57,69,62,23,98,87,38,42,56,89,87,87,61,63,47,21,20
"1636","Manchester Utd","Premier League","Marcel Sabitzer","AUT","MF",21,31,39,41,33,60,54,32,32,60,89,87,87,31,32,37,27,27
"1637","Manchester Utd","Premier League","Jadon Sancho","ENG","FW,MF",59,91,62,74,75,47,58,96,94,27,89,87,77,83,85,97,93,93
"1638","Manchester Utd","Premier League","Luke Shaw","ENG","DF",86,57,47,49,37,15,18,49,54,64,89,87,87,44,45,47,57,58
"1639","Manchester Utd","Premier League","Raphaël Varane","FRA","DF",66,31,28,49,90,9,27,32,32,11,89,87,77,31,32,56,27,27
"1640","Manchester Utd","Premier League","Aaron Wan-Bissaka","ENG","DF",51,31,35,32,17,23,16,32,32,31,89,87,77,47,48,77,15,15
"1641","Manchester Utd","Premier League","Wout Weghorst","NED","FW,MF",28,31,47,55,57,60,63,32,32,16,89,87,77,63,64,86,6,6
"1648","Marseille","Ligue 1","Jonathan Clauss","FRA","DF",85,70,90,81,28,64,54,38,42,55,89,87,77,83,85,56,4,4
"1649","Marseille","Ligue 1","Bamba Dieng","SEN","FW,MF",6,57,39,55,79,99,98,57,46,16,89,87,77,54,55,86,35,35
"1650","Marseille","Ligue 1","Gerson","BRA","MF",13,70,32,62,96,70,93,92,68,40,89,87,77,35,36,56,88,88
"1651","Marseille","Ligue 1","Samuel Gigot","FRA","DF",65,70,42,41,28,20,18,85,94,2,89,87,77,71,73,98,31,31
"1652","Marseille","Ligue 1","Mattéo Guendouzi","FRA","MF",70,70,68,55,17,45,31,38,46,46,95,94,77,78,72,71,13,10
"1653","Marseille","Ligue 1","Pape Gueye","SEN","MF,DF",16,57,28,49,90,56,73,74,54,49,89,87,77,31,32,56,70,70
"1654","Marseille","Ligue 1","Amine Harit","MAR","MF,FW",17,31,22,41,90,44,60,32,32,64,89,87,77,23,24,47,35,35
"1655","Marseille","Ligue 1","Luis Javier Suárez","COL","FW",10,77,52,67,76,99,98,88,78,17,89,87,77,68,70,88,78,78
"1656","Marseille","Ligue 1","Issa Kaboré","BFA","DF",32,57,25,41,75,26,40,77,68,55,89,87,77,35,36,71,66,67
"1657","Marseille","Ligue 1","Sead Kolašinac","BIH","DF",73,83,64,74,71,39,49,87,78,4,89,87,77,82,84,96,57,58
"1659","Marseille","Ligue 1","Ruslan Malinovskyi","UKR","MF,FW",40,57,75,49,5,78,41,35,54,92,89,87,96,60,62,28,24,23
"1660","Marseille","Ligue 1","Chancel Mbemba","COD","DF",92,87,71,74,54,35,40,88,90,9,89,87,77,75,77,77,94,94
"1662","Marseille","Ligue 1","Azzedine Ounahi","MAR","MF,FW",3,57,9,32,96,77,95,98,90,78,89,87,87,31,32,98,70,70
"1663","Marseille","Ligue 1","Dimitri Payet","FRA","MF,FW",29,83,72,67,29,91,74,66,78,76,95,94,87,75,67,47,85,82
"1664","Marseille","Ligue 1","Valentin Rongier","FRA","MF",97,57,64,49,12,24,14,42,54,72,89,87,77,58,59,47,27,27
"1665","Marseille","Ligue 1","Alexis Sánchez","CHI","FW,MF",88,98,95,97,81,75,85,88,75,36,97,98,96,98,98,93,91,94
"1666","Marseille","Ligue 1","Nuno Tavares","POR","DF,MF",78,91,95,89,30,84,69,57,69,67,89,87,77,84,86,37,91,91
"1668","Marseille","Ligue 1","Cengiz Ünder","TUR","MF,DF",81,87,96,95,55,84,79,45,42,52,95,94,91,94,94,71,1,1
"1669","Marseille","Ligue 1","Jordan Veretout","FRA","MF",92,83,75,74,41,39,40,61,68,74,95,94,87,81,77,63,66,61
"1670","Marseille","Ligue 1","Vitinha","POR","FW",14,70,68,74,63,99,98,53,47,18,89,87,77,81,83,91,7,7
"1671","Milan","Serie A","Yacine Adli","FRA","MF,FW",4,31,6,32,100,50,92,32,32,62,89,87,77,5,5,10,57,58
"1673","Milan","Serie A","Fodé Ballo-Touré","SEN","DF",17,57,17,41,94,35,60,90,68,10,89,87,77,27,28,77,72,72
"1674","Milan","Serie A","Ismaël Bennacer","ALG","MF",69,70,52,41,13,28,16,74,94,94,89,87,93,41,42,28,85,85
"1675","Milan","Serie A","Davide Calabria","ITA","DF",56,57,45,18,1,29,5,53,100,88,89,87,77,44,45,56,57,58
"1676","Milan","Serie A","Charles De Ketelaere","BEL","MF,FW",38,31,56,41,11,57,35,32,32,14,89,87,77,63,64,71,6,6
"1677","Milan","Serie A","Sergiño Dest","USA","DF",11,31,6,18,90,19,37,32,32,74,89,87,77,14,14,88,45,46
"1678","Milan","Serie A","Brahim Díaz","ESP","MF,FW",64,91,82,88,79,64,76,85,72,29,89,87,87,90,91,93,61,61
"1679","Milan","Serie A","Alessandro Florenzi","ITA","DF",6,31,17,18,17,79,56,32,32,44,89,87,87,35,36,88,24,23
"1681","Milan","Serie A","Olivier Giroud","FRA","FW",71,98,98,97,60,94,92,74,70,17,97,96,97,98,98,86,70,46
"1682","Milan","Serie A","Theo Hernández","FRA","DF",89,83,91,79,19,63,48,45,55,87,95,94,95,82,79,28,61,53
"1683","Milan","Serie A","Zlatan Ibrahimović","SWE","FW",4,57,17,32,70,92,92,32,32,93,95,94,87,47,19,47,52,41
"1684","Milan","Serie A","Pierre Kalulu","FRA","DF",86,57,39,32,12,10,7,57,90,5,89,87,77,54,55,86,35,35
"1686","Milan","Serie A","Rade Krunić","BIH","MF",56,31,47,32,7,32,13,32,32,32,89,87,77,44,45,47,16,16
"1688","Milan","Serie A","Rafael Leão","POR","FW,MF",78,98,99,97,40,95,87,79,80,59,89,87,77,97,98,71,98,98
"1690","Milan","Serie A","Junior Messias","BRA","FW,DF",50,87,77,79,60,69,71,85,79,59,89,87,87,65,67,37,97,97
"1691","Milan","Serie A","Divock Origi","BEL","FW",35,70,75,81,72,85,87,49,42,60,89,87,77,63,65,37,57,58
"1692","Milan","Serie A","Tommaso Pobega","ITA","MF",30,70,60,55,28,73,60,61,75,64,89,87,77,52,53,37,78,78
"1693","Milan","Serie A","Ante Rebić","CRO","FW,MF",34,77,72,83,82,84,91,66,48,42,89,87,91,79,82,82,35,35
"1694","Milan","Serie A","Alexis Saelemaekers","BEL","FW,DF",49,70,81,77,38,76,68,45,46,77,89,87,77,68,70,37,41,41
"1696","Milan","Serie A","Malick Thiaw","GER","DF",44,31,28,41,63,20,30,32,32,8,89,87,77,35,36,71,24,23
"1697","Milan","Serie A","Fikayo Tomori","ENG","DF",89,57,32,49,78,5,16,66,54,27,89,87,77,49,50,88,45,46
"1698","Milan","Serie A","Sandro Tonali","ITA","MF",88,70,79,86,76,46,58,45,38,84,89,87,97,68,70,47,41,41
"1700","Monaco","Ligue 1","Ruben Aguilar","FRA","DF",37,31,13,32,90,7,23,32,32,55,89,87,77,10,10,28,52,53
"1701","Monaco","Ligue 1","Maghnes Akliouche","FRA","MF,FW",12,31,9,18,52,28,33,32,32,29,89,87,77,14,14,56,45,46
"1702","Monaco","Ligue 1","Benoît Badiashile","FRA","DF",29,70,17,41,94,18,43,98,94,42,89,87,77,27,28,82,90,90
"1703","Monaco","Ligue 1","Eliesse Ben Seghir","FRA","FW,MF",34,83,62,70,64,69,72,88,90,63,89,87,77,61,63,56,95,95
"1704","Monaco","Ligue 1","Wissam Ben Yedder","FRA","FW",70,99,95,99,92,89,95,91,72,29,99,100,93,99,99,96,94,92
"1705","Monaco","Ligue 1","Myron Boadu","NED","FW",10,77,25,55,96,75,96,98,92,10,89,87,77,71,73,99,72,72
"1706","Monaco","Ligue 1","Mohamed Camara","MLI","MF",72,31,69,62,23,45,36,32,32,99,89,87,77,41,42,10,19,18
"1707","Monaco","Ligue 1","Krépin Diatta","SEN","MF,FW",71,83,85,90,78,65,76,61,47,36,89,87,77,85,87,77,31,31
"1708","Monaco","Ligue 1","Edan Diop","FRA","DF,MF",6,57,17,32,70,82,84,90,90,35,89,87,77,44,45,98,57,58
"1709","Monaco","Ligue 1","Sofiane Diop","FRA","MF",2,57,6,18,90,89,94,99,100,7,89,87,77,41,42,100,61,61
"1710","Monaco","Ligue 1","Axel Disasi","FRA","DF",99,77,69,67,34,27,27,69,78,34,89,94,77,80,75,71,31,67
"1711","Monaco","Ligue 1","Breel Embolo","SUI","FW",63,98,84,92,90,69,83,96,92,9,89,94,77,95,95,96,99,99
"1712","Monaco","Ligue 1","Youssouf Fofana","FRA","MF",96,70,85,77,28,48,41,42,46,87,89,87,87,72,74,37,27,27
"1713","Monaco","Ligue 1","Aleksandr Golovin","RUS","MF,FW",83,94,90,96,90,67,82,81,61,66,89,87,91,88,90,71,97,97
"1714","Monaco","Ligue 1","Ismail Jakobs","SEN","DF,FW",39,31,47,62,75,47,58,32,32,36,89,87,87,41,42,37,19,18
"1715","Monaco","Ligue 1","Jean Lucas","BRA","MF",10,31,17,41,94,59,82,32,32,61,89,87,77,27,28,77,31,31
"1717","Monaco","Ligue 1","Guillermo Maripán","CHI","DF",71,77,52,62,63,28,36,88,90,7,89,87,77,56,57,63,90,90
"1718","Monaco","Ligue 1","Gelson Martins","POR","MF,FW",11,31,42,41,28,93,76,32,32,41,89,87,77,35,36,28,24,23
"1719","Monaco","Ligue 1","Eliot Matazo","BEL","MF",41,57,13,41,97,6,33,95,68,87,89,87,77,10,10,18,83,82
"1720","Monaco","Ligue 1","Chrislain Matsima","FRA","DF",14,31,9,32,96,22,51,32,32,2,89,87,77,31,32,98,27,27
"1721","Monaco","Ligue 1","Takumi Minamino","JPN","MF,FW",23,57,60,70,70,87,88,42,36,38,89,87,87,60,62,56,24,23
"1724","Monaco","Ligue 1","Caio Henrique Oliveira Silva","BRA","DF",93,57,35,62,94,6,27,61,42,79,89,87,91,31,32,37,70,70
"1725","Monaco","Ligue 1","Vanderson","BRA","DF,MF",73,57,69,67,34,44,40,38,38,69,89,87,77,66,69,56,13,13
"1726","Monaco","Ligue 1","Kevin Volland","GER","FW,MF",21,77,49,67,81,75,85,90,78,38,89,87,77,58,59,77,89,89
"1728","Montpellier","Ligue 1","Joris Chotard","FRA","MF",80,31,39,18,2,12,2,32,32,99,89,87,77,14,14,4,45,46
"1729","Montpellier","Ligue 1","Nicolas Cozza","FRA","DF",44,70,25,49,93,15,38,96,90,5,89,87,77,52,53,97,78,78
"1730","Montpellier","Ligue 1","Sacha Delaye","FRA","FW,MF",1,57,6,18,90,100,100,99,100,75,89,87,77,5,5,4,84,84
"1731","Montpellier","Ligue 1","Sepe Elye Wahi","FRA","FW",82,99,94,99,93,76,92,95,80,30,95,94,87,98,98,95,100,100
"1733","Montpellier","Ligue 1","Khalil Fayad","FRA","MF",24,31,28,41,63,42,49,32,32,82,89,87,77,23,24,28,35,35
"1735","Montpellier","Ligue 1","Jordan Ferri","FRA","MF",90,57,47,32,7,14,7,49,90,91,89,87,77,35,36,28,66,67
"1736","Montpellier","Ligue 1","Valère Germain","FRA","FW,MF",23,70,58,62,42,85,77,66,68,18,89,87,77,70,72,82,35,35
"1738","Montpellier","Ligue 1","Christopher Jullien","FRA","DF",87,31,54,32,3,21,7,32,32,2,89,87,77,63,64,77,6,6
"1740","Montpellier","Ligue 1","Wahbi Khazri","TUN","FW,MF",57,83,84,88,73,73,80,66,54,84,89,87,77,82,84,71,57,58
"1741","Montpellier","Ligue 1","Boubakar Kouyaté","MLI","DF",43,31,39,41,33,32,30,32,32,10,89,87,77,31,32,28,27,27
"1743","Montpellier","Ligue 1","Léo Leroy","FRA","MF",39,31,52,62,63,51,58,32,32,77,89,87,87,41,42,28,19,18
"1744","Montpellier","Ligue 1","Béni Makouana","CGO","FW,MF",6,31,22,18,11,88,55,32,32,25,89,87,77,35,36,86,24,23
"1745","Montpellier","Ligue 1","Faitout Maouassa","FRA","FW,DF",64,87,79,81,63,59,64,81,76,73,89,87,87,71,73,47,96,96
"1746","Montpellier","Ligue 1","Stephy Mavididi","ENG","FW",43,83,82,87,75,84,88,66,55,48,89,87,77,83,85,77,52,53
"1748","Montpellier","Ligue 1","Arnaud Nordin","FRA","FW",78,94,93,94,63,76,78,77,72,45,89,87,77,90,92,71,93,93
"1750","Montpellier","Ligue 1","Falaye Sacko","MLI","DF",84,57,22,32,52,3,7,85,90,48,89,87,77,35,36,82,66,67
"1751","Montpellier","Ligue 1","Théo Sainte-Luce","FRA","DF",14,57,9,32,96,21,51,98,90,75,89,87,77,19,19,86,78,78
"1752","Montpellier","Ligue 1","Mamadou Sakho","FRA","DF",26,57,9,32,96,8,34,98,90,0,89,87,77,23,24,95,75,75
"1753","Montpellier","Ligue 1","Téji Savanier","FRA","MF",83,98,93,94,70,72,77,66,55,97,100,100,100,95,83,37,99,95
"1755","Montpellier","Ligue 1","Issiaga Sylla","GUI","DF",45,57,35,18,2,27,7,61,100,32,89,87,77,35,36,47,66,67
"1756","Montpellier","Ligue 1","Enzo Tchato","CMR","DF",38,57,13,32,90,7,22,95,90,65,89,87,77,19,19,56,78,78
"1759","Monza","Serie A","Samuele Birindelli","ITA","DF",48,31,47,49,37,38,36,32,32,56,89,87,77,44,45,47,16,16
"1761","Monza","Serie A","Luca Caldirola","ITA","DF",76,70,35,49,70,11,22,90,90,8,89,87,77,44,45,71,84,84
"1762","Monza","Serie A","Gianluca Caprari","ITA","MF,FW",79,87,91,83,29,69,59,53,60,73,95,94,87,86,84,47,63,58
"1763","Monza","Serie A","Andrea Carboni","ITA","DF",5,31,3,18,100,18,61,32,32,7,89,87,77,5,5,18,57,58
"1765","Monza","Serie A","Carlos","BRA","DF",96,91,87,88,66,50,58,79,72,34,89,87,77,83,85,63,93,93
"1766","Monza","Serie A","Patrick Ciurria","ITA","DF,MF",89,91,91,95,79,63,75,69,54,73,89,87,77,85,88,63,88,88
"1767","Monza","Serie A","Andrea Colpani","ITA","MF",30,77,64,67,43,78,72,77,78,65,89,87,77,60,62,47,88,88
"1769","Monza","Serie A","Marco D'Alessandro","ITA","DF,FW",10,31,13,18,28,50,41,32,32,43,89,87,77,14,14,47,45,46
"1771","Monza","Serie A","Giulio Donati","ITA","DF",14,57,6,18,90,12,30,99,100,67,89,87,77,19,19,97,78,78
"1772","Monza","Serie A","Christian Gytkjær","DEN","FW,MF",18,57,42,55,73,70,77,53,46,19,89,94,87,81,78,99,2,5
